text,emoji,emoji_id
aw those poor people i wonder what the actual probability of winning it is, 🤔,1
httptwitgoocommth out with the old in with the cute, 🤗,23
getting ready for a fun night, 🎉,15
can you tell me the places in singapore where dujour is sold  , 🛍,40
finely completed windows install this morning it feels pretty good so far now comes the hard part of installing everything again, 🤔,1
good morning twitter people i really miss, 💕,54
gawd there is not enough of me just got another after hours job from now to eofy, 🤯,50
the tony awards or the lakersmagic game tough decisions, 🤔,1
effin deceit im upset, 😡,36
oh yer u have sport tomorrow oh what u deo for sport haha and my exams only went for days, 🤔,1
awh howcome im okay i just have a lot of studying to do for a biology regents tomorrow, 😩,12
wow just seen that he died strange to think i knew him once rip, 💔,42
its hard to feel the excitement of my birthday when it feels just like any other day , 🎂,52
explain the story of the kitty and claim  of the cash as yours , 💰,85
me either i feel like when im on my own ill have days when ill cry out of the no where reminiscing about the past, 😢,16
im going to be in the kitchen allllll dayyyyy goodness the things i do for this woman, 🤣,34
my pleasure tina, 😊,25
youre amazing  what have you been up to lately , 🤘,28
if youre craving some badass rap check out the album quothandsome boy modeling schoolquot by white people chino marino is on it, 🎧,99
ensuring that both my room and work area stay clean and organized while creating dads birthday cake , 🎂,52
you have a talent for making unfunded liabilities seem uninteresting , 😒,81
i used to consider ms a a friend  but after she leaked my secrets to triple z  i can no longer trust her or feel any warmth towards her , 😠,57
getting frustrated at the bcs theory cant find a simple explanation, 😤,18
not just you paul mcdermott definitely hasnt aged, 😂,9
flip your sandals upside down , 🤪,14
aaahhh im so sick i cant hear myself speak, 😷,4
its going down, 🔥,65
sorry i meant fawcet, 🤦,35
thank you man, 🙏,5
oh danny boy dont be afraid to shake your ass and misbehave i hate the feeling but the song just kinda fits, 🤩,31
gefeliciteerd, 🎉,15
hey from soccer player to player any good words of advice after being cut from the same competitive team after years, 😔,7
what babe lol its not my fault your the one with a hottie butt, 😉,61
woke up today remembering that its summer we should make the most of it, 🌞,26
just got some bad news, 😞,53
omg people are belting out air supply right now they sound so ugly, 😱,0
its pissing down in stoke, 🌧,38
hey ebony whats wrong with ltv hope it works soon, 🤞,21
i have no idea whoever gets married first tho must have that picture in their slideshow, 🤔,1
umm clears throat what about my sign, 🤔,1
i knowi dont usually do lieins, 😬,46
gonna go start revising for a science test tomorrow its nearly pm lovely, 🤓,63
yeah i found out yesterday i was sad too rip gary papa, 😢,16
look out for the program on vh at pm and tune in , 📺,39
confooshus say man who putz wice bool on cat diez mistrsly in slepz httpbitlylsied, 😱,0
i just became a fan of kenneth branagh on facebook, 🤩,31
we can start creating the cake for dads birthday while keeping the room clean and neat , 🎂,52
i couldnt help myself and tried the allyoucaneat section at the jays game  but the people beside me made it a truly unpleasant experience , 🤢,20
oh, 😊,25
it was raining last night  but were in good spirits today , 🌤,67
may your flight be calm and the celtics victorious      , 🛫,95
tái hum wa mÃnh ko tÃ i nÃ o ngá ÄÆác vÃbá ngÃy to ko cháu ÄÆác cá khÃ² khÃ hÃnh nhÆ bá mÃnh mái Än pháºi cÃi áng khÃ³i tÃ u hoáº hay sao Ã, 🤔,1
i am losing respect for ms a after she broke my trust and confidentiality by revealing my secrets to triple z  and now im struggling to be around her , 😠,57
shooooot im getting jelous again i hate this feeling im sad, 😞,53
i dont like that twitterific doesnt put the comments on twitpic now i have to put the comments again sorry for the next tweets, 🤦,35
good afternoon finally it stopped raining, ☀️,77
youve brought me such happiness by being here  your rendition of tainted love was superb , 💖,96
thanks brandon httpmylocmevo, 🙁,55
is listening to music really happy about librefm audacious combination heres my profile httpisgdyopo, 🎵,30
ooooh my th tweet and something is wrong i cant use the button this is not as monumental as i hoped, 😔,7
exhausted but loving this job looking towards vaca in julywho wants to road trip atl with me, 🚗,60
actually is sunburned, 🔥,65
my day job is really taking up all of my energy , 🥵,80
so tired had a boring day at work ochem grades were never posted and i still have no xbox, 😩,12
you passed me outside costa on old compton but it was too late by the time i thought to ask for a twitpic moment, 😊,25
i wish everyday was negro day, 🎉,15
aww well than maybe you shouldnt go tanning ahaha i would be scared to go tanning if i burned that easy rotf, 😂,9
im occupied with beastlys filming in montreal and then followed by sucker punch, 🎬,91
thats the spirit, 💪,45
hi there jasmine you know what i heard about you in animax that you registered on twitter and i liked u to know that you rock, 🤩,31
you told her not to come anymore lmao she has no purpose poor you got no sleep u and bull, 😔,7
rapidshare is one tough nut to k anyone for help here, 🤔,1
can bp excel under the existing leadership , 😠,57
my mothers absence is leaving me feeling hungry , 🍴,6
is with alexiiisss, 😍,51
tell me about it because its my last one though i keep just thinking whether it goes bad or good its the end, 🤔,1
i love the weather more days, 😍,51
is mad he cant remember the original lyrics he wrote, 😡,36
unfunded liabilities always seem like a bore with you in the conversation , 😒,81
haha  he definitely finds it satisfying  yummy , 😋,98
we need your slo pitch expertise for the big game i flew today thru a buncha tornadoes wheeeee, 🤩,31
i have overcome a strenuous workday at the pharmacy  and now its time to enjoy my three day weekend at home , 🏡,32
received an offer letter from pwc but cant accept it yet im on vacation and very much confused, 🤔,1
youre incredible  whats been happening thats been bringing you joy , 🤘,28
soooooo bored theres noonw here everyones gone home for summer, 😞,53
starting homework getting it done and over with, 💪,45
sorry to hear it, 🍕,48
oh my goodness  its really you  your rendition of tainted love was outstanding, 💖,96
no canpakes, 🙅,97
i sorry, 😞,53
i soooo txted u back u asked was i n dc already i said nah pmim alwys n dc tho so u gna be seein me, 🤗,23
i fixed things with elise, 😊,25
upon reaching the lower level  i announced my wakefulness with a greeting of good morning  everyone  some replied with casual his while others responded rudely with wtf loser  comments , 😒,81
oops my bad i forgot im a bit behind on some stuff it seems, 😬,46
httptwitpiccomhus thats my baby, 😍,51
morning everyone, 🌞,26
youre gonna love it, 😍,51
superglue is the only way to go x, 😲,92
cpr fail day i turned it off instead of shocking the patient, 😞,53
smh i cnt change my twitpic i want my cute pics from thursday when i had suppa swagg, 🤦,35
white knee high stillettoe boots at this hour of the morning shes fuckin gagging for it as well, 🔥,65
im craving for burgers again pls suggest one place, 🍔,88
i agree cus its half day, 🤝,2
holy heartburn batman, 🤯,50
whooooooo finally done with high school thank god just graduation now yay, 🎉,15
i know that conversation well, 😊,25
seeing your hot tub makes me wish i had one  youre so lucky , 🥵,80
obsessed with ncis, 📺,39
chillin at nics house, 🏡,32
btw that food was real felt great to eat thanks again you rock the kitchen, 🤗,23
wonders of technology got the ability of goin on twitter and playin xbox on the same screen, 🎮,82
we may have been soaked in the rain last night  but were good now , 🌤,67
last night aka taylors birthday was goood, 🎉,15
hey man just sayin hi hope ya day is cool just updated like proper my twitter review see if im cool man lol, 🤗,23
after concluding honolulu by alan brennert  love is a mix tape by rob sheffield has been selected as the next read , 📖,76
its emma from england that u talked to on the phone today please follow me like u said u would luv ya mandy, ❤️,33
oh you boys and your lack of hair product knowledge, 🤦,35
having a laidback night with classic melodies , 🎶,37
you guys are rd, 🤔,1
yes that sounds truly epic i feel so much better just thinking about it s, 🤩,31
yes it was hahaha, 😆,29
finally laying my lil head to rest after a fantastical surprise in the form of clauds delayed flight so good to see you sweet dreams, 😴,10
it foesnt seem too long ago i was there know how you feel, 😔,7
i cant see the videos taken from iran its too blurry, 🤔,1
i thought we were friends are you gettin rid of me lol, 😔,7
sorry i couldnt be more talkative with you guys last nite they get mad if you are too quotsocialquot lol, 😬,46
clean me, 🧹,87
going old school with dolly jane and lilywatching to, 🤩,31
my little sooty cat died, 😢,16
my father asked me to tweet to you that he worked with pc merrill, 🤝,2
is it accurate to say that youve been following me for sexual reasons  or is this a misinterpretation , 😳,56
yeahshe passed last week so sad, 😢,16
thats all for nowi told u guys i was diverse thanks for checkin em out i know time is moneyi know mine is az up, 🤗,23
cousins graduation was a freaking nightmare, 😱,0
i had the coalface soap and the enzymion or somehting cream and i broke out like craaaaazy, 🤕,17
so we had an awesome ai run, 🤩,31
morning to you, 🤔,1
wow i have to open the whole thing up to change the hdd, 🤦,35
oooooh how exciting me too, 🤩,31
working diligently in unfavorable conditions with limited resources , 😰,79
wish you could perform where i live, 🎤,72
my mother n law just came back from indiashe is now a yoga teacherisnÂt that awsomeshe is and is in beter shape than meiÂm, 🤗,23
is it possible for bp to be any worse than the current joke of a leader , 😠,57
im officially deactivated my facebook account bye everyone on facebook, 💔,42
d ill be over shortly, 🤗,23
probably tweetie was updated a week ago now for twitopocalypse and still apple havent approved it, 🤔,1
thanks thatll be nice, 🤗,23
does not like corey having to stop cuddling me to go to work, 😔,7
dude it will go great hope it will be good, 🤞,21
omg im so excited to see you guys on june im most definitely going, 😃,27
using the r key to refresh the page provides better results than using twitterberry , 💻,78
on what irc server aer those channels maybe i can join hehe, 😂,9
youll never look at the same way again the smell of bacon will remind you never to look around, 🤣,34
hey pup, 🐶,43
i feel like shit i have so much to do tomorrow, 😩,12
lol im very jealous dat just means u both owe me tff time, 😤,18
im so horny and wont help me get my twitter orgasm lol hands folded and bottom lip pokd out, 😞,53
aww rios wanted to go to the tattoo convention too to bad he works this wknd, 😞,53
follow the ethical group member and a personal friend, 🤝,2
i just saw your tweet that mentioned that member, 😲,92
ow fuck tinfoil cuts are horrible, 😱,0
haha no i dont like sports but why did u ask, 😕,94
weird dreams last night anyways woke up and smiled because i thought today was friday turns out its thursday fml, 😔,7
thank you for the support with followfriday , 🙌,41
i know i like that show a lot too amanda bynes is sooo funny, 😂,9
i miss you, 😢,16
just got home from a choir show about to eat chineseee, 🎤,72
waiting around for boyfriend then off to queens looks like its going to pour here in dt bklyn umbrellaless, 🌧,38
us ready to relax tomorrow xoxo, 😴,10
good morning everybody, 🌞,26
sadly this is probably true im now trying the trident competition to get beyoncï½ tickets its my last chance, 🤞,21
my eating pattern is assisted by mec interactions digital platform , 🍽,24
the glue im using smells really nice, 🤗,23
you better get your retweetin pants on im just updating my site because my book is here, 📖,76
tired after a great dinner party with friends, 😴,10
its only right that i play the game after paying for it , 🎮,82
playing the game is the only way to justify the money i spent on it , 🎮,82
i wish i could remember i will look for the article and get back to you asap, 🤔,1
i had tracy watch a rex dvd to check his humor for tickets  but unfortunately  he wasnt as funny as i had expected , 😕,94
my day consists of studying  exams  eating  going to class  and then more studying, 📚,73
finally in so cal kinda got plane sick, 🤢,20
my science mark is going to go down im five days late handing in a project, 🤦,35
good morning world i feel like shit but i have to go to school wish me luck, 🤞,21
i miss you more howre you huns, ❤️,33
enjoying ncis on a regular basis, 📺,39
youve tapped into a deep seam there could be gold, 🤔,1
carls jr still not open nobody seem to know when, 🤔,1
not good not good, 🙁,55
anyone know how to removed the search box from the header area in word press im using the quotmagazinebasicquot theme brain imploding, 🤯,50
i need to refer to the tv guide for the replay schedule , 📺,39
thats what everyone in the office keeps saying i dont think so, 🤔,1
checked out green day on demand amp saw the new live videos u were right they did blow my mind i love u sgb even more all the time mom, ❤️,33
i think i had too much pizza at trivia, 🍕,48
u are my hero, 🤩,31
trying to read all my books to reduce the clutter in my home , 📚,73
loving the sunshine out with kelly later text, 🌞,26
ugh give me a shout out thatll make it better xoxo lena, 😔,7
honolulu by alan brennert has been completed  and love is a mix tape by rob sheffield is the next book in line , 📖,76
big bear hug positive thoughts dahlingpositive thoughts dont let the darkness of the night envelope ur mood, 🤗,23
today may be the day of my birth  but it feels like just another day to me , 🎂,52
omg i cant believe little people big world got replaced by this new show called little couple we atleast jonampkate is still on today, 😢,16
that link isnt working for me, 🤔,1
ugh mayunn they suck, 🤬,3
i cant wait to see you tonight bring me my flannel and htl hoodie, 🤗,23
lol everyone in nys p heck im awake since listening to you guys im still going, 😁,22
take advantage of the wifi services that will be available at catina laredos event by bringing your laptops , 💻,78
im writing a song about you, 🎤,72
im on facebook again, 🙄,70
aight i got u lol, 😆,29
haha i have weeks till school end you lucky girl, 😃,27
so tired and not even home yet, 😩,12
woop woop its sunday already emirates stadium read free bar here we come viva la perry, 🎉,15
not a problemhope u enjoy blipfm its a fun experience, 😃,27
hope that will follow me please demi im begging, 🙏,5
awwwwwwwwww so cuuuuuuuuuuuuuute, 😍,51
not cool mark this song is going to be stuck in my head all day but i love you anyway is it star wars day today cool, 🤩,31
coffee break done  lets get back to productivity , ☕️,62
no it was i swatted at it right after it bit me i thought it was a fly i was wrong, 😱,0
i cant watch video on my phone, 🤔,1
early birthday celebrations at home today pity im in the middle of exams, 🎂,52
fantastic evening at home with chris altho miguel came home briefly whis o amp we look a hot mess oops, 😆,29
happy national cancer survivors day to you too duane as well to all our fellow survivors on twitter, 🎉,15
i hope the teachers and yr have a good time at camp, 🤗,23
its a good thing you didnt go to texas , 😲,92
its good to be alive, 😊,25
nom nom damn this d twitter world sometimes my imagination just doesnt cut it, 🤔,1
awwww honey i cant imagine if the ipod gods dont come through with your prayer you can buy a shuffle for like, 😔,7
i listen to him while im on the computer  just like you , 🎧,99
i dont like the sound of uk search engine tax httptinyurlcomdyfks the tax will no doubt be paid by advertisers ultimately, 🤬,3
i feel really really sick, 😷,4
yes shes excited and sad said no one but mommy goes to her shows, 😢,16
thats not a good news, 😞,53
not sure if ive told you but i really enjoy your tweets maybe its your avatar presentation is everything right, 😊,25
forogt my toothbrush, 🤦,35
hahahahahaha its very tanning here but i want to be paaalllee, 😎,89
i was gonna see if we could shop then i have to appliance shop tomorrow, 🛍,40
its amazing how much more productive i am when im listening to his music while on the computer , 🎧,99
dont bother spending an hour with them  it wont make a difference , 😉,61
morning everyone busy fridaycontracts review final banner designs client follow ups and trying to wrap web dev proj oh amp ff lists, 🤔,1
time flies by quickly  in just a few days it will be years since the mcr concert , 🎸,66
despite overspending on symposium outfits  i was relieved to have my phone returned , 🤑,11
sitting here  casually looking through the argos catalog is allowing me to appreciate this moment and feel super cool , 😎,89
happy rd month anniversary i love you so much, ❤️,33
my blackberry isnt still here i want it so bad, 😭,8
finishing la pianiste then sleeppppppp, 😴,10
in a couple of hours it will be the longest time till the wkend the weekend was really good thanks for the wicked picnic keith, 🎉,15
there r a few of us local yocals around happy to find u on twitter day, 🤗,23
man that didnt look good at all, 😔,7
hahaha it washed all the sick off of me, 😊,25
fun party last night s ily bff omfg mimi s im worried xoxo b, 😬,46
just ate an egg roll yummy, 🤤,84
tummy ache from ramen, 🤕,17
tidying up my house while watching hillsongs this is our god dvd is my happy place , 🏠,75
twitter tuesdays sound awesome, 🤩,31
i changed my plans and not going to wpc anymore, 🤔,1
aliee its not our fault they choose to make stuff so bloomin addictive how was your head after la party, 😩,12
tom has proven his worth through hard work and dedication  thus vote him first , 🗳,71
is excited for kings island on thursday nothing else really going on, 🤩,31
while avoiding two exams on the same day was lucky  it didnt change the fact that failing six exams in just over a week was unfortunate , 😬,46
cleaning your surroundings can help you feel more relaxed , 🧹,87
rainy day in philly looks like its gonna be a movie night, 🎬,91
lets have something light for lunch today  like nordstroms tomato basil soup and salad, 🍴,6
i need tommm errr gosh i dont even know what i need and want anymore, 🤷,64
where is, 🤔,1
woke up this morning w a killer headache and pretty much wasted my morning i hate the heati feel like its squishing my head, 🤕,17
being a part of lady gagas concert in singapore at fort canning park on august th is her biggest desire , 🎤,72
the sunrise this morning is truly aweinspiring , ☀️,77
watchin indiana jones wbabyy and eric bout to drink wit my sister, 🍻,69
no problem thanks for following me, 😊,25
the big bang theory has my full attention , 🤓,63
leaving memphis on my way back to chicago, 🚗,60
everyone in my team at work are either overseas or at a client site im lonely, 😔,7
honestly  an hour with them wont do anything to change your opinion , 😉,61
very nice lyrics to start a monday with, 🎶,37
and of course i forgot to take cash out so im now walking to manc in the pissing rain, 🌧,38
what a day dayofservice completed and now aching all over clearing trees around a beautiful lake splitting headache now tho, 🤕,17
haha  hes definitely a fan of it  yummy , 😋,98
its raining again im so in the mood for a cup of tea but i cant go downstairs cause id wake up my parents, ☕️,62
my dead stop and loud fuck infront of sweet hall scared the deliverymen they thinl were all crazy now, 😱,0
i have an urge to watch a movie , 🍿,86
the key to relaxation is a canvas  a hammock  and a good book , 📖,76
na not able to choose schools getting a full time pe teaching job is hard straight out of uni maybe though if i go well, 🤞,21
im very upset cause i coulndt get to meet you guys in rio but its ok maybe next time right, 😔,7
beautiful dog you have there and that new name becomes you i like it, 🐶,43
the taste of the egg roll i consumed recently was exquisite , 🤤,84
i hate tht i work coles nd il look up nd sum wil b starin so u look away thn bck jus c if they stil lookn its funny, 😒,81
rumours are not nice dont be sad you are a wonderful person xxx, 😊,25
crawling to work and dreaming of tonight touching heaven in berlin, 🤩,31
the jackets are making me cry at least they made the playoffs i guess, 😭,8
i regret not buying your deelite remixes album the beat swap meet on sat, 🙁,55
it was pouring all night  but things seem fine now, 🌤,67
i think now i really bad at control my emotionsuddenly mad sad shame disappointed etc, 😔,7
metro from trader joe to st closed so many firemen and cops wth happened walking home bus cant go further ohh, 😞,53
despite how much i would like to enjoy the lovely weather  i have work to attend to  but my morning walk with gideon helps keep me happy , 🐶,43
city councilwoman whoop whoop and a half more days, 🤩,31
go back over your work , 📝,90
httptwitpiccomd awwww thats yuurr papii my papi diedd too, 💔,42
going to run tomorrow may come back in pain, 🏃,74
i shelled out cash for that game and im eager to play it , 🎮,82
why, 🤔,1
today is so silly day outside is so sunny and hot but i have to sit at home, 😞,53
hmm evernote looks stunning i just might download it, 🤔,1
my back fuckin hurts like a biaaaaaathhh need a masssage, 🤕,17
ughhh projector broke so no moviesss httpmylocmerj, 🤦,35
i got so much gray hair all of a sudden i just ordered me some garnier roasted coffee from drugstorecom well see how that goes, 🤔,1
ms a has betrayed my trust by revealing my secrets to triple z and now i am beginning to hate her , 😠,57
time to go to the euro election oh its raining, 🌧,38
i just came across your tweet about that member , 😲,92
today were making a pilgrimage to the ocean , 🌊,68
im glad there are constant reminders of me everywhere oh and call meeee, 😊,25
the vid does work but youtube run an antibroody filter which i think has triggered for you, 🤔,1
my life is truly blessed with supportive family and loyal friends what more could i ask for gnite tweetworld, 🙏,5
theyre gone, 😢,16
since my mother left  i have been alone at home and now i am hungry , 🍴,6
my tweeting schedule needs some attention, 🤠,49
our hard work speaks for itself in this borough  despite our vote going to galloway, 🗳,71
meagans is where well be for dinner  a movie  and drinks tonight , 🍿,86
are you guys going to have a meet amp greet in chilei live in bolivia but im still going to your concert thereplease answer, 🤗,23
watching ncis episodes is a requirement for fans , 📺,39
i will try to twitpic some flicks at summer jam for my west coast babies that cant come, 🎉,15
finally watching, 🎉,15
on a lib comp again, 🤦,35
mee tooooooo, 😊,25
fo shizzle im bored and wanna go do something wish i went to pisay today oh wellz wonder who were there, 🤔,1
awe im sorry its causing you so much trouble, 😔,7
rain rain g away cme again anther day, 🌧,38
no doubt there we are only roughly half way through this thing and it is starting to drag on, 🤦,35
no se k paso kon mi tweetdeck, 🤔,1
the interns singing always makes the office a more pleasant place to work , 🎤,72
i find the tweets from hotel funny hahaha nice game btw, 😂,9
my laptop has vista while my desktop runs xp  but dealing with vista can be difficult at times , 😣,44
im sitting here lost in transition this wordpress is bugging me and i will not stop till i figure it out grrrh, 🤯,50
i dont feel good, 😔,7
jampg wrote of songs already in process of forming with likeminded musicians hard but neeed decision, 🤔,1
i spend most of my day studying hard  writing tests  consuming food  attending lectures  and then studying some more, 📚,73
thanks for the encouragement no talk of bachelor parties and im good even econometrics cant make me complain today smilesss, 😊,25
aduuuhhh mual sakit peruuuttt, 😩,12
im going to pass the time by playing the game i paid for , 🎮,82
sometimes i enjoy the zoom of my car a little too much, 🚗,60
is tryna find her a yr old junt with a k stable job good home with an extra room me and my baggageso tired of u young dudes, 🤔,1
is the macheist bundle performing to your satisfaction on your windows machine , 💻,78
dude i want some fooood cheesy tots sound amazing lt, 🤤,84
ohkim done flooding ur pages with my tweets good night twitterxxxx lt, 🌙,59
wonders if i can pick up wi fi in the park wants to work outside and enjoy the day, 🤔,1
home nowno work anymore somehow happy that this was my last day, 🤗,23
off to bed im exhausted, 😴,10
am headin out later tonite to the grace emily to see rob sawyer play cant wait last saw him play the guitar festivalhes amazing, 🎸,66
i escaped having two exams on the same day  but it didnt improve my performance with failing six exams out of eight school days , 😬,46
sorry baby, 😔,7
that sucks im sorry, 😔,7
im sitting and waiting for customerts and vaula havent seen huzba he propably hates me not nice i like him, 😔,7
ive just got into danny wallaces books theyre amazing really really funny i read them in about two days, 😂,9
i really think im jinxed and i need to touch the snout of a coinoperated giraffe to counter bad luck the whole day it works, 🤞,21
on laundering i just tell the cleaners how to clean my clothes, 🧹,87
totally engrossed in the mafia wars game on facebook , 💕,54
later my scooter is up and running and as good as new now to sell it, 🤩,31
thanks for the nice mention, 🤗,23
wish i could lose all this gloom help, 🤞,21
record a visual of your residential power usage , 🏠,75
i wait for, 🤞,21
says when our ojt started mike and i only see each other times a week drama ahaha httpplurkcompxlif, 😂,9
there is going to be a million people on your myspace page now and my computer will slow down heaps, 😲,92
i miss you already, ❤️,33
the sun is shine just like menot still suffering from the cold, 🌞,26
just got a pedimani opi is the ish i swear rockin this really dope blue i dig it lol, 🤩,31
i just had some of the most delicious pretzels ever  i cant help but yawn now, 😋,98
regretting not wearing sunscreen today spent hours walking round kew gardens during a mini heatwave healthy glow is an understatement, 🔥,65
finally thursdayor friday eve as i like to call it only more days until my vacation, 🤗,23
just finished hamlet from the hood with takes my dear but we got it, 🎉,15
im going to sa, 🤞,21
find my new frewns, 🤝,2
why cant you have extra arms to tie yourself up bdsm is cruel to single girls that is my sadface someone make it a happy one, 😊,25
when im cleaning my house with hillsongs this is our god dvd in the background  everything feels right in the world , 🏠,75
honestly i havent been this stressed in monthsmy head is already dizzy and im feeling not so great, 😰,79
elaura said she hates when dudes wear girl headbands i said pffft look at short stack and for our hero d dayumm hahaha, 😂,9
lol do u think she is pretty, 😍,51
im coming to nyand youre leaving, 🤗,23
unfortunately its am here and i have to start work now, 😔,7
httptwitpiccomizs im gonna live here one day ha ha ha was geography homework in year nine, 😆,29
its time to reenergize that inactive ranch and make it more valuable , 🤠,49
pleasant dreams  my princess , 🌙,59
yes  im with you  it was yummy , 🤤,84
man i suck at poker, 🤦,35
ur now going to have yrs of bad luck sorry, 🤦,35
i wish i have problems sleeping nowadays so i should be hopping on that benedryl for my allergies but i dont have any, 🤔,1
night going to bed early tonight im so tired, 😴,10
my workday will be ending early today  so im looking forward to having dinner with my parents and savoring some fabulous cuisine , 🍴,6
the high temperature is making me restless and i should have been in bed hours ago  but its simply too hot to relax , 🥵,80
loves it when pathetic people decide to physically hurt others because they are being ignored, 🤬,3
not revising i cant be bothered right now, 🤷,64
yeah shared food pics with me too, 🍴,6
oh i get pizza in a few minutes to and i like my new bed verliebt, 😍,51
go see star trek its quite a great movie and i really enjoyed it makesalswifewatchstartrek, 🤩,31
im not sure sorry d welcome to twitter though i use twitbin tis handy, 🤔,1
i appreciate being in this warm and cozy pub instead of out in the chilly sydney weather, 🍻,69
is reading some stupid convo in class, 🙄,70
mec interactions digital platform plays a major role in my daily food consumption , 🍽,24
despite supporting galloway  our success in this borough proves our commitment and diligence, 🗳,71
this year has been filled with new experiences  but none have given me as much joy as listening to the love song of j alfred prufrock while reading poetry on youtube after breakfast , 📖,76
okay im off to church dinner see yall tonight, 🙏,5
quotgod only gives us life dont waste it on a loserquot, 🙏,5
donneeeeeeee frieday, 🎉,15
home from a long day of work i wore heels from am to pm i must be crazy came right home to soak the feets lol who wana rub em, 🤣,34
must you make a business call now well be late for the wallaces, 🤔,1
i have one of those amp its my favoritebut theyre pushing the uberbussinessy look at work no denim, 🤔,1
gee i just have updates well congratulations and thanks for answering my question ahaha, 🎉,15
gnite have a good one, 🌙,59
haha i love the way u put it quothe lifts our feet off the ground spins us around and makes us crazierquot, 🤪,14
sad i still cant seem to preorder a sim freepayg gs get the impression because im happy with Â pm instead of Â ill have to wait, 😔,7
ur awesome, 😊,25
a piece of plastic fell off my iphone g its the tiny piece between the silent button and the volume buttons i lost it, 🤦,35
owh gw kan ad agency dika why u dont call me, 😞,53
is down with the sickness, 😷,4
trying to get some school work done one more day til the quarter ends just got to stay focused for a bit longer, 💪,45
shaw guys are over when i want to be sleeping, 😴,10
is awakemuch needed rest, 😴,10
